Year of Project Year,Subsystem 1 - Technology Mid-Type,Country (group),Subsystem 1 - Technology Broad Category,Subsystem 1 - Technology Sub-Type (group),Country,Subsystem 1 - Technology Sub-Type,Rated Power (kW),Storage Capacity (kWh)
1987,Lead-acid battery,Germany,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Germany,Unknown Technology Sub-Type ,8500,14195
1987,Lead-acid battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,500,500
1988,Lead-acid battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,10000,40000
1994,Lead-acid battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,20000,14000
1996,Lead-acid battery,United States,Electro-chemical battery and chemical storage,Valve regulated lead-acid battery,United States,Valve regulated lead-acid battery,5000,3500
1996,Lead-acid battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2000,0
1996,Lead-acid battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,250,2400
1997,Lead-acid battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1000,1400
1999,Sodium-based battery,Japan,Electro-chemical battery and chemical storage,Sodium-sulfur battery,Japan,Sodium-sulfur battery,6000,48000
2000,Flow battery,Japan,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Japan,Vanadium redox flow battery,3000,810
2000,Lead-acid battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,10000,0
2001,Sodium-based battery,Japan,Electro-chemical battery and chemical storage,Sodium-sulfur battery,Japan,Sodium-sulfur battery,2400,14400
2003,Flow battery,Australia,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Australia,Vanadium redox flow battery,200,800
2004,Sodium-based battery,Japan,Electro-chemical battery and chemical storage,Sodium-sulfur battery,Japan,Sodium-sulfur battery,8000,58000
2004,Flow battery,United States,Electro-chemical battery and chemical storage,Vanadium redox flow battery,United States,Vanadium redox flow battery,250,2000
2004,Hydrogen storage,Norway,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Norway,Unknown Technology Sub-Type ,65,0
2004,Sodium-based battery,Japan,Electro-chemical battery and chemical storage,Sodium-sulfur battery,Japan,Sodium-sulfur battery,9600,57600
2004,Lead-acid battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,20000,13400
2005,Flow battery,Japan,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Japan,Vanadium redox flow battery,4000,6000
2005,Sodium-based battery,Japan,Electro-chemical battery and chemical storage,Sodium-sulfur battery,Japan,Sodium-sulfur battery,2000,12000
2006,Sodium-based battery,Japan,Electro-chemical battery and chemical storage,Sodium-sulfur battery,Japan,Sodium-sulfur battery,2000,12000
2006,Lead-acid battery,Antarctica,Electro-chemical battery and chemical storage,Advanced lead-acid battery,Antarctica,Advanced lead-acid battery,500,400
2007,Sodium-based battery,Japan,Electro-chemical battery and chemical storage,Sodium-sulfur battery,Japan,Sodium-sulfur battery,1000,6000
2008,Sodium-based battery,Japan,Electro-chemical battery and chemical storage,Sodium-sulfur battery,Japan,Sodium-sulfur battery,1500,1500
2008,Lithium-ion battery,France,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,France,Unknown Technology Sub-Type ,107,163.71
2008,Sodium-based battery,Japan,Electro-chemical battery and chemical storage,Sodium-sulfur battery,Japan,Sodium-sulfur battery,34000,238000
2008,Electro-chemical capacitor,South Korea,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,South Korea,Unknown Technology Sub-Type ,525,0
2008,Sodium-based battery,United States,Electro-chemical battery and chemical storage,Sodium-sulfur battery,United States,Sodium-sulfur battery,2000,12000
2008,Sodium-based battery,United States,Electro-chemical battery and chemical storage,Sodium-sulfur battery,United States,Sodium-sulfur battery,1000,7200
2008,Sodium-based battery,United States,Electro-chemical battery and chemical storage,Sodium-sulfur battery,United States,Sodium-sulfur battery,2000,12000
2008,Sodium-based battery,United States,Electro-chemical battery and chemical storage,Sodium-sulfur battery,United States,Sodium-sulfur battery,2000,12000
2009,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Lithium-ion titanate battery,United States,Lithium-ion titanate battery,1000,250
2009,Lithium-ion battery,China,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,China,Lithium-iron phosphate battery,1000,1000
2009,Sodium-based battery,Germany,Electro-chemical battery and chemical storage,Sodium-sulfur battery,Germany,Sodium-sulfur battery,800,4800
2009,Lithium-ion battery,China,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,China,Lithium-iron phosphate battery,1000,4000
2009,Lithium-ion battery,China,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,China,Lithium-iron phosphate battery,1000,4000
2009,Lead-acid battery,United States,Electro-chemical battery and chemical storage,Advanced lead-acid battery,United States,Advanced lead-acid battery,1500,375
2009,Lead-acid battery,United Kingdom,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United Kingdom,Unknown Technology Sub-Type ,12,60
2009,Electro-chemical capacitor,South Korea,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,South Korea,Unknown Technology Sub-Type ,1870,0
2009,Lithium-ion battery,Chile,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Chile,Unknown Technology Sub-Type ,12000,12000
2009,Sodium-based battery,United States,Electro-chemical battery and chemical storage,Sodium-sulfur battery,United States,Sodium-sulfur battery,1000,6500
2010,Lithium-ion battery,China,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,China,Lithium-iron phosphate battery,100,100
2010,Sodium-based battery,United Arab Emirates,Electro-chemical battery and chemical storage,Sodium-sulfur battery,United Arab Emirates,Sodium-sulfur battery,8000,48000
2010,Lead-acid battery,Japan,Electro-chemical battery and chemical storage,Valve regulated lead-acid battery,Japan,Valve regulated lead-acid battery,4500,10485
2010,Sodium-based battery,United States,Electro-chemical battery and chemical storage,Sodium-sulfur battery,United States,Sodium-sulfur battery,4000,4000
2010,Lithium-ion battery,China,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,China,Lithium-iron phosphate battery,100,80
2010,Lithium-ion battery,China,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,China,Lithium-iron phosphate battery,100,80
2010,Lithium-ion battery,China,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,China,Lithium-iron phosphate battery,100,60
2010,Nickel-based battery,Netherlands,Electro-chemical battery and chemical storage,Nickel-cadmium battery,Netherlands,Nickel-cadmium battery,3000,2400
2010,Flow battery,Netherlands,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Netherlands,Vanadium redox flow battery,10,80
2010,Lead-acid battery,United States,Electro-chemical battery and chemical storage,Valve regulated lead-acid battery,United States,Valve regulated lead-acid battery,100,400
2010,Flow battery,Italy,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Italy,Vanadium redox flow battery,10,100
2010,Lithium-ion battery,Italy,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,Italy,Lithium-iron phosphate battery,15,15
2010,Sodium-based battery,Italy,Electro-chemical battery and chemical storage,Sodium-nickel-chloride battery,Italy,Sodium-nickel-chloride battery,20,20
2010,Electro-chemical capacitor,South Korea,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,South Korea,Unknown Technology Sub-Type ,1400,0
2010,Electro-chemical capacitor,South Korea,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,South Korea,Unknown Technology Sub-Type ,1400,0
2010,Lead-acid battery,Japan,Electro-chemical battery and chemical storage,Valve regulated lead-acid battery,Japan,Valve regulated lead-acid battery,4500,10485
2010,Lead-acid battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,8,0
2011,Lithium-ion battery,China,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,China,Lithium-iron phosphate battery,100,400
2011,Lithium-ion battery,Australia,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,Australia,Lithium-iron phosphate battery,25,100
2011,Lead-acid battery,Cape Verde,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Cape Verde,Unknown Technology Sub-Type ,28,431.76
2011,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,United States,Lithium-iron phosphate battery,50,46
2011,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,United States,Lithium-iron phosphate battery,50,83.5
2011,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,United States,Lithium-iron phosphate battery,25,48
2011,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,United States,Lithium-iron phosphate battery,25,12.5
2011,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,United States,Lithium-iron phosphate battery,25,12.5
2011,Lead-acid battery,United States,Electro-chemical battery and chemical storage,Advanced lead-acid battery,United States,Advanced lead-acid battery,15000,3750
2011,Lithium-ion battery,China,Electro-chemical battery and chemical storage,Lithium-iron phosphate battery,China,Lithium-iron phosphate battery,50,160
2011,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Lithium-ion titanate battery,United States,Lithium-ion titanate battery,1000,250
